City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,yumen,40.28,97.2,76.93,23,97,5.82,CN,1592676739
331,chicama,-7.84,-79.15,73.09,58,37,9.46,PE,1592676739
332,hovd,48.01,91.64,62.78,37,2,4.81,MN,1592676739
333,nuevo progreso,23.17,-97.95,91.0,53,23,5.99,MX,1592676739
334,rosamorada,22.12,-105.21,96.51,36,17,5.17,MX,1592676740
335,puerto madryn,-42.77,-65.04,59.4,42,93,34.05,AR,1592676740
336,gravdal,68.12,13.5,60.62,60,0,6.82,NO,1592676740
337,portland,45.52,-122.68,61.0,89,100,4.27,US,1592676733
338,severobaykalsk,55.65,109.32,49.6,67,0,2.95,RU,1592676740
339,tateyama,34.98,139.87,72.0,90,99,1.01,JP,1592676740
340,haimen,23.19,116.61,82.4,78,78,6.71,CN,1592676740
341,berwick,41.05,-76.23,82.0,56,7,5.28,US,1592676740
342,rio gallegos,-51.62,-69.22,39.2,80,40,8.05,AR,1592676741
343,saint anthony,45.02,-93.22,72.0,49,1,6.55,US,1592676741
344,tongling,30.95,117.78,67.87,97,100,4.47,CN,1592676741
345,mount gambier,-37.83,140.77,46.4,93,90,6.93,AU,1592676539
346,port macquarie,-31.43,152.92,50.0,97,7,10.07,AU,1592676741
347,san cristobal,7.77,-72.22,89.6,49,40,18.34,VE,1592676742
348,bumba,2.18,22.47,77.23,65,82,0.74,CD,1592676742
349,kasongo-lunda,-6.47,16.82,74.77,35,0,2.44,CD,1592676742
350,sidhi,24.42,81.88,83.91,72,79,3.76,IN,1592676742
351,vanimo,-2.67,141.3,78.17,84,77,4.9,PG,1592676742
352,sandusky,41.35,-83.13,90.0,32,28,3.0,US,1592676742
353,manakara,-22.13,48.02,67.24,94,100,5.32,MG,1592676742
354,madarounfa,13.31,7.16,98.6,35,28,1.41,NE,1592676742
355,borba,-4.39,-59.59,92.5,40,48,4.38,BR,1592676743
356,masasi,-10.72,38.8,67.35,54,61,1.99,TZ,1592676743
357,magdagachi,53.45,125.8,54.82,99,100,4.9,RU,1592676743
358,dhidhdhoo,6.88,73.1,84.16,77,99,16.35,MV,1592676743
359,ponazyrevo,58.36,46.31,49.93,64,2,6.46,RU,1592676744
360,severo-kurilsk,50.68,156.12,41.74,91,100,16.31,RU,1592676744
361,el castillo,19.53,-96.85,76.73,72,12,5.44,MX,1592676744
362,hualmay,-11.1,-77.61,68.9,65,43,9.95,PE,1592676744
363,qaqortoq,60.72,-46.03,53.6,34,75,5.82,GL,1592676744
364,hami,42.8,93.45,80.19,20,62,4.83,CN,1592676744
365,haines junction,60.75,-137.51,51.85,73,100,3.85,CA,1592676523
366,sur,22.57,59.53,87.1,66,95,16.13,OM,1592676745
367,gat,31.61,34.76,75.99,90,0,13.0,IL,1592676745
368,isangel,-19.55,169.27,70.59,81,38,13.62,VU,1592676745
369,geraldton,-28.77,114.6,50.0,87,0,5.82,AU,1592676745
370,tullow,52.8,-6.74,57.99,83,97,15.01,IE,1592676745
371,puerto plata,19.79,-70.69,93.2,52,20,17.22,DO,1592676590
372,green valley,31.85,-110.99,93.0,7,0,1.01,US,1592676746
373,mayna,54.11,47.62,62.64,94,57,3.53,RU,1592676746
374,novoagansk,61.94,76.66,48.52,80,99,9.19,RU,1592676746
375,mikuni,36.22,136.15,60.8,93,20,2.24,JP,1592676746
376,dubinino,55.62,89.09,46.9,91,100,4.38,RU,1592676746
377,tongzi,28.78,105.09,73.72,92,100,1.45,CN,1592676746
378,otradnoye,59.78,30.82,64.4,48,53,11.18,RU,1592676600
379,loreto,22.27,-101.97,80.33,32,0,7.72,MX,1592676747
